"serum","dilution","date","pct_sars2","pct_sars1","norm_sars2","norm_sars1"
"JF5_neg",215.443469,"201007",10.128193,3.102065,0.762295640283396,0.604735356821475
"JF5_pos",464.1588834,"201007",9.381113,3.035756,0.640222801129716,0.660977506669094
"JF5_neg",464.1588834,"201007",12.107834,3.794853,0.911292771719009,0.739791649446431
"JF5_pos",1000,"201007",11.042485,4.154969,0.753604681889331,0.904664620577997
"JF5_neg",1000,"201007",12.5519,4.620462,0.944715276187288,0.900740873015254
"King_2",10,"200923",0.766233,0.267784,0.246937663332948,0.316683775077224
"King_3",10,"200923",0.6473,0.32365,0.178188445912113,0.370999135691802
"King_4",10,"200923",0.979346,0.401783,0.287745801321048,0.464849073849109
"King_5",10,"200923",0.465737,0.312917,0.132540656896376,0.354391830290758
"King_6",10,"200923",0.811228,0.42801,0.243829334974836,0.485179693663792
"King_7",10,"200923",0.71508,0.46991,0.195181174739121,0.489441658837572
"King_9",10,"200923",0.40414,0.392459,0.106682223501027,0.426812729809649
"King_10",10,"200923",0.713792,0.457633,0.18605199140158,0.420745021711489
"King_11",10,"200923",0.565682,0.363154,0.154035801052498,0.347038238290276
"King_12",10,"200923",0.619731,0.550522,0.145716954096635,0.392180077905721
"King_2",21.5443469,"200923",0.956386,0.383131,0.308219202363177,0.453094178252293
"King_3",21.5443469,"200923",0.595418,0.504974,0.163906392844274,0.578850355466807
"King_4",21.5443469,"200923",1.340601,0.447849,0.393887664826116,0.518145847072299
"King_5",21.5443469,"200923",0.482271,0.322347,0.13724594597825,0.365071706934219
"King_6",21.5443469,"200923",1.141091,0.391718,0.342975661189913,0.444040137479482
"King_7",21.5443469,"200923",0.828081,0.474601,0.226024811712181,0.494327638752039
"King_9",21.5443469,"200923",0.526328,0.415268,0.138936609419628,0.451618305816896
"King_10",21.5443469,"200923",0.702009,0.390005,0.182980717676623,0.358568246154865
"King_11",21.5443469,"200923",0.82817,0.398518,0.225511558362556,0.380832882597918
"King_12",21.5443469,"200923",0.704639,0.587199,0.165681317890664,0.418307986903632
"King_2",46.41588834,"200923",1.785714,0.474864,0.575490800501847,0.561578451917482
"King_3",46.41588834,"200923",1.198425,0.388061,0.329901882113739,0.444833293977125
"King_4",46.41588834,"200923",1.528767,0.50017,0.449173515231771,0.578679439565907
"King_5",46.41588834,"200923",0.796053,0.396755,0.226542850459231,0.449341936126863
"King_6",46.41588834,"200923",1.574178,0.443508,0.47314783867423,0.502747775933836
"King_7",46.41588834,"200923",1.165612,0.457321,0.318153940048689,0.476329401079478
"King_9",46.41588834,"200923",0.586786,0.412411,0.154895915275087,0.448511219550392
"King_10",46.41588834,"200923",1.129829,0.560558,0.294493263294148,0.5153736463073
"King_11",46.41588834,"200923",1.03086,0.448342,0.280704257644716,0.428445832433455
"King_12",46.41588834,"200923",0.797758,0.696113,0.187576328868854,0.495895987029011
"King_2",100,"200923",2.416738,0.441295,0.778853996901649,0.521879449566455
"King_3",100,"200923",2.084713,0.385845,0.573878834609575,0.442293099060724
"King_4",100,"200923",2.24171,0.487849,0.658646321401635,0.564424467506624
"King_5",100,"200923",0.752371,0.397085,0.214111712339332,0.449715675182254
"King_6",100,"200923",2.19732,0.392471,0.660444504290912,0.444893716389622
"King_7",100,"200923",1.511999,0.44389,0.412700314684198,0.462340145860718
"King_9",100,"200923",1.076611,0.490424,0.284196702443866,0.533353053960203
"King_10",100,"200923",1.365085,0.54423,0.355813434000979,0.500361781528088
"King_11",100,"200923",1.796477,0.541564,0.489182568593995,0.51753090006288
"King_12",100,"200923",2.498117,0.973331,0.587380654214529,0.693380150853287
"King_2",215.443469,"200923",2.252416,0.526684,0.725897140809316,0.622861251578783
"King_3",215.443469,"200923",2.723574,0.629659,0.749744196487929,0.72177643992141
"King_4",215.443469,"200923",2.514238,0.584295,0.738718928776784,0.676009163166846
"King_5",215.443469,"200923",2.688545,0.719,0.765113187046482,0.814298123716688
"King_6",215.443469,"200923",2.316645,0.505902,0.696309804053583,0.573475800527791
"King_7",215.443469,"200923",2.76861,0.538341,0.755692443075569,0.560716971463211
"King_9",215.443469,"200923",1.34386,0.528256,0.3547433386304,0.574496661812637
"King_10",215.443469,"200923",1.776604,0.549987,0.463077075859653,0.505654732626442
"King_11",215.443469,"200923",2.48075,0.577496,0.675510823149728,0.551868338114633
"King_12",215.443469,"200923",3.459042,1.01391,0.813322335549349,0.722287761051129
"King_2",464.1588834,"200923",3.344432,0.671859,1.07782648783847,0.794546516743379
"King_3",464.1588834,"200923",3.720106,0.659384,1.02406906653534,0.755850128499932
"King_4",464.1588834,"200923",2.85437,0.665061,0.838654554076658,0.769452639616813
"King_5",464.1588834,"200923",3.560586,0.742771,1.01328090183095,0.841219793673391
"King_6",464.1588834,"200923",3.295442,0.795162,0.990505050747934,0.901372527681802
"King_7",464.1588834,"200923",3.460509,0.770618,0.944546360988003,0.802648490668622
"King_9",464.1588834,"200923",3.030962,0.742213,0.800093446595535,0.807182295807228
"King_10",464.1588834,"200923",2.317694,0.607688,0.604113781268905,0.558704684220349
"King_11",464.1588834,"200923",3.336454,0.76779,0.908519918549311,0.733717621110854
"King_12",464.1588834,"200923",3.814819,1.278042,0.896975954260756,0.910449738842014
"King_2",1000,"200923",3.216166,0.779849,1.03648957553495,0.922256465323538
"King_3",1000,"200923",3.535849,0.746424,0.973346884427464,0.85562384940404
"King_4",1000,"200923",3.50385,0.773196,1.02948102709232,0.894561105133456
"King_5",1000,"200923",3.638796,0.80602,1.03553810874357,0.912851980080841
"King_6",1000,"200923",3.310939,0.726057,0.995162956052121,0.823037108577958
"King_7",1000,"200923",3.686214,0.807075,1.00615256874727,0.840620814211942
"King_9",1000,"200923",3.504714,0.720267,0.925151388764235,0.783315262133895
"King_10",1000,"200923",2.889652,1.132203,0.753196321978335,1.04094061358515
"King_11",1000,"200923",3.335595,0.927182,0.908286011949659,0.88603624868363
"King_12",1000,"200923",3.909032,1.156246,0.919128196760011,0.82368487791256
"none",0,"200923",3.45901,0.692501,1,1
"none",0,"200923",3.565517,0.82069,1,1
"none",0,"200923",3.102941,0.845588,1,1
"none",0,"200923",3.632671,0.872374,1,1
"none",0,"200923",3.403511,0.86433,1,1
"none",0,"200923",3.513918,0.882969,1,1
"none",0,"200923",3.327032,0.882168,1,1
"none",0,"200923",3.663673,0.960094,1,1
"none",0,"200923",3.78826,0.919511,1,1
"none",0,"200923",3.836519,1.087673,1,1
"none",0,"200923",3.672406,1.046438,1,1
"none",0,"200923",4.252978,1.403748,1,1
"King_2",10,"200924",0.682594,0.236282,0.0323647299102565,0.102215737058428
"King_3",10,"200924",0.603355,0.264888,0.0295337388904305,0.114189200548857
"King_4",10,"200924",0.862018,0.200744,0.0408719967473777,0.0868419766213979
"King_5",10,"200924",0.192835,0.162387,0.0094391171680622,0.0700025735764824
"King_6",10,"200924",0.878426,0.203795,0.0416499708994615,0.0881618410789751
"King_7",10,"200924",0.829,0.813927,0.0405788790018594,0.350871588879563
"King_9",10,"200924",0.236427,0.236427,0.0112100252836858,0.10227846414671
"King_10",10,"200924",0.535865,0.252622,0.0262301580172876,0.108901513926842
"King_11",10,"200924",0.680353,0.167104,0.0322584744205674,0.0722892921399498
"King_12",10,"200924",0.442266,0.490079,0.0216485627269437,0.211265626286519
"King_2",21.5443469,"200924",2.022529,0.41816,0.0958968359239332,0.180896270593411
"King_3",21.5443469,"200924",1.455046,0.456059,0.0712233239760429,0.196600120100236
"King_4",21.5443469,"200924",2.48227,0.522822,0.117695142521517,0.226173115516043
"King_5",21.5443469,"200924",0.57973,0.272403,0.0283773142626634,0.11742880310588
