"serum","dilution","sars2_geomean","sars2_upper_ci","sars2_lower_ci","sars1_geomean","sars1_upper_ci","sars1_lower_c1"
"JF5_neg",10,0.376331166432157,0.605745585430655,0.233803019344334,0.270062817916221,0.408315430306802,0.178621526906413
"JF5_neg",21.5443469,0.412178080208892,0.616058016796016,0.275770731283155,0.350626280474185,0.473487326737994,0.25964536243478
"JF5_neg",46.41588834,0.379628445530475,0.656511604729111,0.219520501416499,0.386613393941708,0.490525718299563,0.30471371999265
"JF5_neg",100,0.489247525006435,0.698131253149095,0.342862663210128,0.457149823912106,0.566825441118372,0.368695450737939
"JF5_neg",215.443469,0.61484877464618,0.855149556156534,0.442073568257468,0.587627784787332,0.67648797054892,0.510439842964061
"JF5_neg",464.1588834,0.801854040315339,1.07522071093146,0.597988762151938,0.778041217239035,1.01234813843791,0.597964388670553
"JF5_neg",1000,0.840083378683056,0.982565757814828,0.718262444550344,0.792044724782423,0.983327981749923,0.637971112079271
"JF5_pos",10,0.052622124220686,0.138622628507978,0.0199757282580884,0.108397798640107,0.231407607380639,0.0507765621148904
"JF5_pos",21.5443469,0.0888930950189097,0.168558731548248,0.0468796974767164,0.196987645316215,0.393562396292114,0.098597154537156
"JF5_pos",46.41588834,0.134034915665497,0.219370589886478,0.081895018957435,0.321710941476187,0.522699541923673,0.198006544035976
"JF5_pos",100,0.29112600269862,0.434083915269014,0.195248767498681,0.461611221441282,0.663180241304726,0.321307702625902
"JF5_pos",215.443469,0.482986638967609,0.69493103506293,0.335682365085483,0.584219147844492,0.860107048612787,0.396825038532849
"JF5_pos",464.1588834,0.711745835681156,1.02270658431708,0.49533477380293,0.773471422484331,1.01380202928552,0.590113280619054
"JF5_pos",1000,0.716533593520499,0.908861913260115,0.56490472661765,0.816307583995259,1.04920966326317,0.635104779359089
"King_10",10,0.0760682053783281,0.165193009273128,0.0350279463697669,0.169801154821065,0.296407302271034,0.0972730157376594
"King_10",21.5443469,0.110177876187634,0.196012496186079,0.0619305638029001,0.250372044658322,0.309885520176677,0.202288124694078
"King_10",46.41588834,0.182382286322949,0.304313371720188,0.109306068860397,0.326347364690262,0.499168170216094,0.213360163558051
"King_10",100,0.243000237572755,0.352639175173131,0.167449108373806,0.398272085135711,0.514856942172612,0.308086850551133
"King_10",215.443469,0.33226470147732,0.516770966335527,0.213633967540144,0.487699200400537,0.520632116904046,0.456849476528086
"King_10",464.1588834,0.499409545766949,0.685659009399991,0.3637520851967,0.597194161646812,0.717124286933774,0.497320859442562
"King_10",1000,0.722031723273969,0.851802127055436,0.612031589092345,0.86444607926117,1.01620380276575,0.735351532749836
"King_10",2154.43469,0.839814375219835,0.918925359434273,0.767514115901737,0.897181903479686,1.00177115732287,0.803512221376528
"King_11",10,0.0689886234141235,0.120825380444639,0.0393909801323281,0.130535581195158,0.231517129405973,0.07359946973115
"King_11",21.5443469,0.0887199055718638,0.153029324885601,0.0514360345676534,0.220292950702458,0.298868326786273,0.162375801581342
"King_11",46.41588834,0.184074870577506,0.275849217842523,0.122833619914301,0.284839049714492,0.358859434176926,0.226086530031852
"King_11",100,0.256924615060934,0.451863982623614,0.146084353616635,0.380704654202229,0.508730201767449,0.284897639707052
"King_11",215.443469,0.422452597558064,0.664989591919508,0.268374421723517,0.540285020077344,0.629178331867591,0.4639509788163
"King_11",464.1588834,0.562098377544281,0.968572746342639,0.32620635593038,0.628415694074444,0.738281720071879,0.534899177133381
"King_11",1000,0.727296681418884,0.970848285117661,0.544843587727834,0.815711725509065,1.02724251643249,0.647739563432202
"King_11",2154.43469,0.711244885613973,0.916205588913379,0.552135124947224,0.872162510564764,1.03987921847992,0.731495957719554
"King_12",10,0.0671622429898824,0.141373678202979,0.0319066953676879,0.228207302191148,0.317965414435978,0.163786910176194
"King_12",21.5443469,0.102144473541867,0.196946733539891,0.0529762199535641,0.337063221011617,0.538285695864425,0.211061924609159
"King_12",46.41588834,0.165297195239359,0.205161868290027,0.133178562769635,0.424018858402728,0.586977675816571,0.306301243963045
"King_12",100,0.420225026408122,0.553448471280555,0.319070486202844,0.670621636503566,1.01866403874457,0.441493330716753
"King_12",215.443469,0.619263187246831,0.895212508187053,0.428375264612561,0.960500415437099,1.80462345846038,0.511220799956754
"King_12",464.1588834,0.770861986446362,0.955209072474997,0.622092292955671,0.852697302989579,1.03646674646244,0.701510871436388
"King_12",1000,0.836249363062375,0.921044784313269,0.759260580085295,0.841028298240663,0.915185369451979,0.77288014215649
"King_12",2154.43469,0.88758847454411,0.928990200653436,0.848031873306527,0.940382920955615,1.10399449940107,0.801018518212514
