serum,dilution,pct_bfp,pct_grn,pct_red
JF5_pos,10,0.116493,0.392397,0.183936
JF5_neg,10,0.56959,7.75803,0.094932
King_2,10,0.236282,0.682594,0.072197
King_3,10,0.264888,0.603355,0.137349
King_4,10,0.200744,0.862018,0.082659
King_5,10,0.162387,0.192835,0.111641
King_6,10,0.203795,0.878426,0.098384
King_7,10,0.813927,0.829,0.233627
King_9,10,0.236427,0.236427,0.096322
King_10,10,0.252622,0.535865,0.091863
King_11,10,0.167104,0.680353,0.083552
King_12,10,0.490079,0.442266,0.083672
JF5_pos,21.5443469,0.232279,1.071482,0.089915
JF5_neg,21.5443469,0.905545,10.845639,0.090554
King_2,21.5443469,0.41816,2.022529,0.081072
King_3,21.5443469,0.456059,1.455046,0.108585
King_4,21.5443469,0.522822,2.48227,0.118203
King_5,21.5443469,0.272403,0.57973,0.104771
King_6,21.5443469,0.590341,2.015952,0.119324
King_9,21.5443469,0.415836,0.662739,0.086633
King_10,21.5443469,0.559765,1.176071,0.101775
King_11,21.5443469,0.415156,1.087592,0.122793
King_12,21.5443469,0.944393,0.994098,0.130475
JF5_pos,46.41588834,0.616869,2.102961,0.145805
JF5_neg,46.41588834,0.973651,11.80483,0.071511
King_2,46.41588834,0.558811,4.378255,0.08138
King_3,46.41588834,0.483879,3.46079,0.136749
King_4,46.41588834,0.729719,4.264594,0.132676
King_5,46.41588834,0.379053,0.944717,0.075811
King_6,46.41588834,0.519211,4.361371,0.058411
King_7,46.41588834,1.075565,2.904946,0.19305
King_9,46.41588834,0.495781,1.097046,0.116034
King_10,46.41588834,0.747384,3.025126,0.177949
King_11,46.41588834,0.630699,3.02324,0.068554
King_12,46.41588834,1.170631,2.978086,0.103016
JF5_pos,100,0.920263,4.887111,0.285796
JF5_neg,100,1.2497,15.284787,0.120163
King_2,100,0.734406,8.663091,0.164275
King_3,100,0.745013,6.657054,0.192261
King_4,100,0.947609,6.796984,0.213336
King_5,100,0.685282,4.015627,0.147304
King_6,100,0.807514,6.030582,0.166084
King_7,100,1.176908,5.277502,0.117691
King_9,100,0.460499,2.1673,0.105619
King_10,100,0.71738,3.632016,0.135355
King_11,100,1.008542,4.519151,0.110223
King_12,100,1.731602,7.755102,0.154607
JF5_pos,215.443469,1.005817,7.573921,0.224188
JF5_neg,215.443469,1.267257,14.980531,0.148673
King_2,215.443469,0.873002,11.290037,0.129771
King_3,215.443469,0.976384,10.466067,0.182771
King_4,215.443469,1.226717,10.704987,0.225315
King_5,215.443469,0.760673,6.185224,0.137872
King_6,215.443469,1.164725,9.635456,0.115968
King_7,215.443469,1.595665,9.077224,0.127954
King_9,215.443469,0.9792,4.585817,0.085148
King_10,215.443469,1.042493,3.467422,0.107649
King_11,215.443469,1.306596,7.385411,0.237563
King_12,215.443469,2.249346,13.051439,0.200523
JF5_pos,464.1588834,1.90779,17.889716,0.359803
JF5_neg,464.1588834,1.643154,19.377331,0.135128
King_2,464.1588834,1.231757,15.014594,0.110917
King_3,464.1588834,1.183532,12.794481,0.100965
King_4,464.1588834,1.469657,12.77081,0.101356
King_5,464.1588834,1.123837,11.017906,0.150562
King_6,464.1588834,1.3606,14.174981,0.222644
King_7,464.1588834,1.857408,12.366052,0.192885
King_9,464.1588834,1.460627,7.902907,0.162292
King_10,464.1588834,1.15569,8.056997,0.223258
King_11,464.1588834,1.385024,11.851758,0.265621
King_12,464.1588834,2.348269,16.567383,0.1554
JF5_pos,1000,1.743253,16.599128,0.122334
JF5_neg,1000,1.746565,20.341985,0.164885
King_2,1000,1.653664,18.122456,0.237449
King_3,1000,1.58043,19.632798,0.349468
King_4,1000,2.167013,19.777805,0.164815
King_5,1000,1.518377,14.098198,0.219952
King_6,1000,1.683426,18.105299,0.214665
King_7,1000,2.046145,15.04769,0.239783
King_9,1000,1.789293,12.417693,0.250501
King_10,1000,1.86722,13.768389,0.289199
King_11,1000,1.830613,16.844949,0.270181
King_12,1000,2.247394,16.786166,0.216907
none,0,2.311601,21.090675,0.350676
none,0,2.319729,20.429347,0.290949
King_2,2154.43469,1.855856,19.405405,0.234234
King_3,2154.43469,2.006244,19.40333,0.306429
King_4,2154.43469,2.355155,19.371578,0.279425
King_5,2154.43469,2.380017,18.742633,0.196464
King_6,2154.43469,2.93003,23.191357,0.113129
King_7,2154.43469,2.340211,17.778057,0.14469
King_9,2154.43469,2.304647,15.888509,0.206063
King_10,2154.43469,2.346209,18.526466,0.18598
King_11,2154.43469,2.323085,18.822357,0.268343
King_12,2154.43469,2.430145,18.166925,0.10922
