serum,dilution,pct_bfp,pct_grn,pct_red
JF5_pos,10,0.151342,0.284227,0.02953
JF5_neg,10,0.242901,1.365036,0.03079
King_2,10,0.113773,0.35396,0.053726
King_3,10,0.123493,0.294203,0.145285
King_4,10,0.200242,0.479825,0.052894
King_5,10,0.051453,0.154358,0.051453
King_6,10,0.126268,0.382876,0.016293
King_7,10,0.405261,0.244686,0.007646
King_9,10,0.158221,0.224841,0.116584
King_10,10,0.181219,0.313015,0.160626
King_11,10,0.118656,0.214494,0.013691
King_12,10,0.214543,0.264348,0.145583
JF5_pos,21.5443469,0.185294,0.361549,0.013558
JF5_neg,21.5443469,0.302986,1.178688,0.036949
King_2,21.5443469,0.181847,0.453023,0.063806
King_3,21.5443469,0.245773,0.405899,0.178744
King_4,21.5443469,0.285682,0.745743,0.311654
King_5,21.5443469,0.143337,0.42182,0.024572
King_6,21.5443469,0.265729,0.590074,0.058617
King_7,21.5443469,0.43142,0.42735,0.02442
King_9,21.5443469,0.204656,0.29602,0.047509
King_10,21.5443469,0.205535,0.478401,0.070874
King_11,21.5443469,0.188331,0.227567,0.023541
King_12,21.5443469,0.360246,0.324928,0.081232
JF5_pos,46.41588834,0.264469,0.352626,0.068992
JF5_neg,46.41588834,0.293124,1.11957,0.126206
King_2,46.41588834,0.250057,0.883318,0.016237
King_3,46.41588834,0.235548,0.654743,0.083839
King_4,46.41588834,0.362763,1.220202,0.094224
King_5,46.41588834,0.179865,0.500705,0.034028
King_6,46.41588834,0.295847,0.879954,0.087237
King_7,46.41588834,0.470746,0.605245,0.08166
King_9,46.41588834,0.262541,0.492264,0.168776
King_10,46.41588834,0.346754,0.735889,0.100173
King_11,46.41588834,0.258576,0.814515,0.150836
King_12,46.41588834,0.49022,0.466189,0.13457
JF5_pos,100,0.425195,1.121347,0.162575
JF5_neg,100,0.319994,1.096072,0.128733
King_2,100,0.292953,1.365796,0.154394
King_3,100,0.235421,1.00054,0.514984
King_4,100,0.314174,1.092467,0.335594
King_5,100,0.279451,0.794989,0.197543
King_6,100,0.306078,1.117427,0.106884
King_7,100,0.501576,0.941009,0.235252
King_9,100,0.299147,0.406304,0.317007
King_10,100,0.41635,0.796884,0.268613
King_11,100,0.426656,1.056481,0.345388
King_12,100,0.836985,0.905913,0.216631
JF5_pos,215.443469,0.48707,1.523202,0.624336
JF5_neg,215.443469,0.449364,1.362282,0.359491
King_2,215.443469,0.254121,1.535027,0.367445
King_3,215.443469,0.459438,1.688982,1.023891
King_4,215.443469,0.623962,1.727894,0.516891
King_5,215.443469,0.39604,0.934247,0.568672
King_6,215.443469,0.380036,1.461977,0.457595
King_7,215.443469,0.590559,1.572216,0.63358
King_9,215.443469,0.49302,0.961632,0.956751
King_10,215.443469,0.425327,1.074279,0.609489
King_11,215.443469,0.595655,1.716889,0.71829
King_12,215.443469,2.468427,1.95178,1.262916
JF5_pos,464.1588834,0.53434,2.201088,0.931418
JF5_neg,464.1588834,0.651216,1.838728,0.713465
King_2,464.1588834,0.362007,1.73677,0.642131
King_3,464.1588834,0.440035,2.092167,2.040163
King_4,464.1588834,0.715537,1.781542,1.606308
King_5,464.1588834,0.38422,1.554751,1.116919
King_6,464.1588834,0.369704,1.358913,0.854317
King_7,464.1588834,0.614439,1.9059,1.052512
King_9,464.1588834,0.593024,1.234568,2.032455
King_10,464.1588834,0.564069,1.302059,1.31146
King_11,464.1588834,0.547916,2.207471,1.20647
King_12,464.1588834,0.802873,2.001902,1.167336
JF5_pos,1000,0.606485,1.685328,1.761138
JF5_neg,1000,0.555711,1.732511,1.643784
King_2,1000,0.506163,1.911025,1.490944
King_3,1000,0.555685,2.335432,2.110049
King_4,1000,0.738225,2.388159,2.314336
King_5,1000,0.616883,2.077922,1.962482
King_6,1000,0.667579,1.789112,1.949331
King_7,1000,0.819435,2.260677,2.241396
King_9,1000,0.745209,1.80388,2.140998
King_10,1000,0.700893,1.857066,2.857485
King_11,1000,0.616603,2.167846,2.089959
King_12,1000,0.707497,1.843779,2.179661
none,0,0.947235,2.799607,3.578445
none,0,0.864568,2.120734,3.071759
King_2,2154.43469,0.736688,1.934344,2.58487
King_3,2154.43469,0.537102,1.95053,2.51119
King_4,2154.43469,0.664265,1.897095,2.685206
King_5,2154.43469,0.55911,2.261291,2.248866
King_6,2154.43469,0.740646,2.439024,2.445409
King_7,2154.43469,0.868596,1.895651,2.758378
King_9,2154.43469,0.833528,1.818606,2.477267
King_10,2154.43469,0.691397,1.719473,2.639331
King_11,2154.43469,0.791932,1.8994,2.357236
King_12,2154.43469,0.911521,1.980673,2.645466
