serum,dilution,pct_grn,pct_red
JF5A_Pos,12.5,0.289917,0.064426
JF5A_Pos,39.52847075,2.257178,0.409233
JF5A_Pos,125,4.69544,2.811844
JF5A_Pos,395.2847075,21.944282,4.442399
JF5A_Pos,1250,28.820707,5.714701
JF5A_Neg,12.5,10.9,0.1125
JF5A_Neg,39.52847075,11.207884,0.4202
JF5A_Neg,125,26.785714,1.884921
JF5A_Neg,395.2847075,25.167392,4.268497
JF5A_Neg,1250,30.355013,6.02697
none,0,30.315046,5.810684
