serum,dilution,pct_bfp,pct_grn,pct_red
JF5_pos,10,0.213993,0.300831,0.079084
JF5_neg,10,0.65658,2.25785,0.074478
King_2,10,0.385674,0.531788,0.069659
King_3,10,0.512756,0.392635,0.11295
King_4,10,0.526664,0.677678,0.077395
King_5,10,0.450222,0.385404,0.073577
King_6,10,0.348349,0.628728,0.062873
King_7,10,0.697884,0.436408,0.058924
King_9,10,0.335127,0.386832,0.103411
King_10,10,0.438225,0.552261,0.084713
King_11,10,0.342423,0.501908,0.075052
King_12,10,0.657977,0.544912,0.078518
JF5_pos,21.5443469,0.530767,0.562091,0.073089
JF5_neg,21.5443469,1.003636,2.402419,0.113164
King_2,21.5443469,0.595674,1.347496,0.092532
King_3,21.5443469,0.536941,0.755463,0.095734
King_4,21.5443469,0.526351,0.946991,0.151959
King_5,21.5443469,0.388591,0.454651,0.081604
King_6,21.5443469,0.458094,0.939846,0.09678
King_9,21.5443469,1.00029,0.706657,0.069375
King_10,21.5443469,0.629605,0.557317,0.125921
King_11,21.5443469,0.681079,0.750814,0.113901
King_12,21.5443469,0.576369,0.596791,0.097574
JF5_pos,46.41588834,1.662262,0.792771,0.127866
JF5_neg,46.41588834,0.977113,1.073424,0.182114
King_2,46.41588834,1.182223,2.610018,0.091275
King_3,46.41588834,0.671956,1.391778,0.047865
King_4,46.41588834,0.718355,1.483775,0.156056
King_5,46.41588834,0.682001,1.457609,0.193902
King_6,46.41588834,0.612588,0.786484,0.102757
King_7,46.41588834,0.672288,1.038786,0.150646
King_9,46.41588834,1.23757,0.888011,0.117243
King_10,46.41588834,0.512332,0.791135,0.193018
King_11,46.41588834,0.876888,1.016145,0.150137
King_12,46.41588834,0.784672,1.100201,0.13493
JF5_pos,100,2.046018,1.515397,0.092685
JF5_neg,100,1.255237,1.860804,0.11365
King_2,100,1.547585,4.147298,0.179818
King_3,100,0.875141,1.991391,0.16074
King_4,100,0.993409,1.836762,0.226034
King_5,100,0.971314,1.588638,0.146776
King_6,100,0.785032,1.334554,0.117755
King_7,100,0.983024,1.98257,0.163149
King_9,100,1.480024,1.523322,0.151545
King_10,100,0.920695,1.165516,0.205064
King_11,100,0.924099,0.937775,0.171925
King_12,100,1.279017,2.217107,0.208465
JF5_pos,215.443469,2.517867,2.988805,0.206552
JF5_neg,215.443469,1.735165,2.233839,0.202065
King_2,215.443469,1.827995,4.698446,0.290187
King_3,215.443469,1.379284,2.777725,0.193483
King_4,215.443469,1.029739,2.739458,0.353668
King_5,215.443469,1.179971,2.482562,0.180915
King_6,215.443469,1.050567,2.362685,0.183086
King_7,215.443469,1.196551,2.148953,0.169365
King_9,215.443469,1.560784,1.915224,0.348223
King_10,215.443469,1.470724,1.887967,0.159059
King_11,215.443469,1.528202,1.833843,0.20946
King_12,215.443469,1.721443,2.29759,0.249586
JF5_pos,464.1588834,2.820128,3.43766,0.148428
JF5_neg,464.1588834,1.878647,3.093274,0.347559
King_2,464.1588834,1.613302,4.815174,0.21498
King_3,464.1588834,1.390169,3.714952,0.301896
King_4,464.1588834,1.244958,2.819122,0.301386
King_5,464.1588834,1.911056,3.197043,0.235241
King_6,464.1588834,1.482817,2.916056,0.268169
King_7,464.1588834,1.611662,3.508534,0.239938
King_9,464.1588834,2.115324,3.677754,0.277566
King_10,464.1588834,1.673502,2.142554,0.306416
King_11,464.1588834,1.886466,1.9013,0.286802
King_12,464.1588834,1.928183,3.541376,0.362237
JF5_pos,1000,2.527419,4.55631,0.162311
JF5_neg,1000,2.091639,4.249394,0.266464
King_2,1000,2.458979,6.081542,0.306804
King_3,1000,1.707749,4.388708,0.370355
King_4,1000,1.826664,3.994709,0.364618
King_5,1000,1.99204,4.461276,0.233522
King_6,1000,1.661825,3.347204,0.36377
King_7,1000,1.755707,4.530422,0.379104
King_9,1000,1.994951,3.635995,0.392228
King_10,1000,2.23668,3.748352,0.41672
King_11,1000,2.498593,3.747889,0.321707
King_12,1000,2.45337,4.731316,0.283776
none,0,3.179737,6.559579,0.509854
none,0,3.67882,8.640084,0.468333
King_2,2154.43469,2.955033,7.680273,0.46057
King_3,2154.43469,2.172175,6.54442,0.340332
King_4,2154.43469,2.45463,6.556472,0.356102
King_5,2154.43469,2.87515,6.877511,0.424608
King_6,2154.43469,2.227324,5.414892,0.282554
King_7,2154.43469,3.013737,7.30565,0.390031
King_9,2154.43469,2.929447,6.053077,0.448917
King_10,2154.43469,2.837015,5.01742,0.348405
King_11,2154.43469,2.623699,4.658355,0.350972
King_12,2154.43469,2.859105,5.624571,0.368313
