serum,dilution,pct_bfp,pct_grn,pct_red
JF5_pos,10,0.367826,0.347005,1.728087
JF5_neg,10,1.108563,2.76185,2.886086
King_2,10,0.51697,0.569416,2.075373
King_3,10,0.442959,0.567299,3.465962
King_4,10,0.652945,1.036196,2.831796
King_5,10,0.412172,0.315706,2.437955
King_6,10,0.615966,0.895204,2.250329
King_7,10,1.18013,0.741012,2.268777
King_9,10,0.483451,0.808851,4.239494
King_10,10,0.632911,0.734994,3.419763
King_11,10,0.514363,0.786102,2.329193
King_12,10,0.863379,0.732145,2.389833
JF5_pos,21.5443469,0.645482,0.665343,2.65144
JF5_neg,21.5443469,1.319958,3.326294,3.471489
King_2,21.5443469,0.894226,1.328564,4.113439
King_3,21.5443469,0.870348,1.110444,7.112845
King_4,21.5443469,1.155987,1.855288,5.037819
King_5,21.5443469,0.640125,0.765027,4.496487
King_6,21.5443469,1.157083,1.384993,4.470547
King_7,21.5443469,1.658477,0.998157,4.499386
King_9,21.5443469,1.114946,1.168038,7.97717
King_10,21.5443469,1.234771,1.103062,4.560421
King_11,21.5443469,0.949777,0.949777,4.461074
JF5_pos,46.41588834,0.870253,1.503165,5.221519
JF5_neg,46.41588834,1.593583,4.085561,4.855615
King_2,46.41588834,1.186322,2.611903,6.230685
King_3,46.41588834,1.084337,2.622799,12.882298
King_4,46.41588834,1.571747,2.483749,7.616183
King_5,46.41588834,0.742966,1.248814,5.422068
King_6,46.41588834,1.428571,2.646617,6.947368
King_7,46.41588834,2.34474,2.053232,6.730038
King_9,46.41588834,1.227266,2.040515,11.281975
King_10,46.41588834,1.578865,1.672659,7.394091
King_11,46.41588834,1.268926,1.975487,7.642394
King_12,46.41588834,1.791511,1.851629,7.839365
JF5_pos,100,1.439745,3.433239,11.400291
JF5_neg,100,1.889929,6.264765,10.193368
King_2,100,1.727263,4.168888,10.129012
King_3,100,1.125388,4.501551,19.26451
King_4,100,1.869556,4.142766,11.652857
King_5,100,1.45176,2.194787,9.064929
King_6,100,1.322085,4.01662,10.475951
King_7,100,2.396364,3.332874,11.486021
King_9,100,1.554274,3.171221,16.106794
King_10,100,2.125568,3.034771,13.613466
King_11,100,1.6114,3.355973,13.011053
JF5_pos,215.443469,1.901712,6.35572,18.256431
JF5_neg,215.443469,3.102065,10.128193,17.29132
King_2,215.443469,2.251895,8.215458,16.883558
King_3,215.443469,2.060596,7.932888,26.095455
King_4,215.443469,3.192975,7.184195,18.599082
King_5,215.443469,1.489265,4.285062,14.901782
King_6,215.443469,2.05494,6.122232,17.163543
King_7,215.443469,2.705423,5.712848,17.46571
King_9,215.443469,2.691901,4.995886,22.675444
King_10,215.443469,2.727518,4.847421,20.645423
King_11,215.443469,2.60403,6.202565,21.146297
King_12,215.443469,3.860087,7.457839,17.938788
JF5_pos,464.1588834,3.035756,9.381113,25.545732
JF5_neg,464.1588834,3.794853,12.107834,23.83994
King_2,464.1588834,2.672623,9.060271,22.823105
King_3,464.1588834,2.916275,9.934149,29.444967
King_4,464.1588834,4.337067,10.549622,26.400104
King_5,464.1588834,2.631579,8.476301,23.85868
King_6,464.1588834,3.356184,10.439874,25.921165
King_7,464.1588834,4.594282,9.403404,25.549496
King_9,464.1588834,4.941313,8.679901,28.430662
King_10,464.1588834,4.062416,8.918483,28.248588
King_11,464.1588834,3.463934,8.990659,26.427089
King_12,464.1588834,4.439809,10.071514,24.423917
JF5_pos,1000,4.154969,11.042485,29.758563
JF5_neg,1000,4.620462,12.5519,29.245183
King_2,1000,3.462528,12.013226,29.766716
King_3,1000,3.233492,11.02791,31.83288
King_4,1000,4.716857,12.048351,30.744974
King_5,1000,3.255603,10.387644,30.617807
King_6,1000,5.090104,12.693645,31.568132
King_7,1000,4.86455,11.884649,30.731139
King_9,1000,4.747738,10.040907,31.114417
King_10,1000,5.164179,10.597015,30.686567
King_11,1000,5.365597,11.85341,31.80782
King_12,1000,4.268879,11.844637,29.401154
none,0,4.592828,14.652888,32.158629
none,0,5.129624,13.286437,32.484983
King_2,2154.43469,3.841349,12.445347,30.402873
King_3,2154.43469,3.62552,12.234168,31.421172
King_4,2154.43469,4.843926,12.944716,29.657766
King_5,2154.43469,3.413554,11.133329,29.743626
King_6,2154.43469,4.652961,12.586196,30.534253
King_7,2154.43469,4.637295,11.807212,30.131893
King_9,2154.43469,4.163155,11.427608,30.903422
King_10,2154.43469,4.58939,12.131821,29.872897
King_11,2154.43469,4.450475,11.126187,29.154229
King_12,2154.43469,4.025119,11.954301,29.219944
