serum,dilution,pct_bfp,pct_grn,pct_red
JF5_pos,10,0.238816,0.680348,0.027769
JF5_neg,10,0.443092,2.026982,0.006613
King_2,10,0.267784,0.766233,0.018559
King_3,10,0.32365,0.6473,0.023491
King_4,10,0.401783,0.979346,0.006278
King_5,10,0.312917,0.465737,0.012129
King_6,10,0.42801,0.811228,0.009954
King_7,10,0.46991,0.71508,0.024971
King_9,10,0.392459,0.40414,0.025697
King_10,10,0.457633,0.713792,0.017269
King_11,10,0.363154,0.565682,0.013967
King_12,10,0.550522,0.619731,0.018875
JF5_pos,21.5443469,0.445449,0.752098,0.016139
JF5_neg,21.5443469,0.452859,2.065146,0.032737
King_2,21.5443469,0.383131,0.956386,0.017284
King_3,21.5443469,0.504974,0.595418,0.033916
King_4,21.5443469,0.447849,1.340601,0.014732
King_5,21.5443469,0.322347,0.482271,0.019991
King_6,21.5443469,0.391718,1.141091,0.043795
King_7,21.5443469,0.474601,0.828081,0.004944
King_9,21.5443469,0.415268,0.526328,0.019315
King_10,21.5443469,0.390005,0.702009,0.013929
King_11,21.5443469,0.398518,0.82817,0.015567
King_12,21.5443469,0.587199,0.704639,0.045671
JF5_pos,46.41588834,0.419301,1.111782,0.034942
JF5_neg,46.41588834,0.465557,2.08525,0.02509
King_2,46.41588834,0.474864,1.785714,0.025591
King_3,46.41588834,0.388061,1.198425,0.034241
King_4,46.41588834,0.50017,1.528767,0.028258
King_5,46.41588834,0.396755,0.796053,0.020346
King_6,46.41588834,0.443508,1.574178,0.032852
King_7,46.41588834,0.457321,1.165612,0.022308
King_9,46.41588834,0.412411,0.586786,0.027679
King_10,46.41588834,0.560558,1.129829,0.023236
King_11,46.41588834,0.448342,1.03086,0.026181
King_12,46.41588834,0.696113,0.797758,0.024641
JF5_pos,100,0.522151,1.665759,0.057661
JF5_neg,100,0.504123,2.200076,0.026226
King_2,100,0.441295,2.416738,0.038938
King_3,100,0.385845,2.084713,0.066227
King_4,100,0.487849,2.24171,0.05088
King_5,100,0.397085,0.752371,0.033961
King_6,100,0.392471,2.19732,0.033567
King_7,100,0.44389,1.511999,0.033292
King_9,100,0.490424,1.076611,0.040627
King_10,100,0.54423,1.365085,0.042095
King_11,100,0.541564,1.796477,0.020381
King_12,100,0.973331,2.498117,0.024107
JF5_pos,215.443469,0.745925,3.003859,0.03456
JF5_neg,215.443469,0.61154,2.645131,0.04389
King_2,215.443469,0.526684,2.252416,0.047626
King_3,215.443469,0.629659,2.723574,0.053462
King_4,215.443469,0.584295,2.514238,0.026559
King_5,215.443469,0.719,2.688545,0.087307
King_6,215.443469,0.505902,2.316645,0.044232
King_7,215.443469,0.538341,2.76861,0.038453
King_9,215.443469,0.528256,1.34386,0.06966
King_10,215.443469,0.549987,1.776604,0.047038
King_11,215.443469,0.577496,2.48075,0.080725
King_12,215.443469,1.01391,3.459042,0.061824
JF5_pos,464.1588834,0.815533,3.602559,0.097265
JF5_neg,464.1588834,0.999856,3.452741,0.082722
King_2,464.1588834,0.671859,3.344432,0.083239
King_3,464.1588834,0.659384,3.720106,0.078732
King_4,464.1588834,0.665061,2.85437,0.050329
King_5,464.1588834,0.742771,3.560586,0.04716
King_6,464.1588834,0.795162,3.295442,0.111995
King_7,464.1588834,0.770618,3.460509,0.081424
King_9,464.1588834,0.742213,3.030962,0.065215
King_10,464.1588834,0.607688,2.317694,0.081967
King_11,464.1588834,0.76779,3.336454,0.059301
King_12,464.1588834,1.278042,3.814819,0.088807
JF5_pos,1000,0.839359,3.36107,0.087206
JF5_neg,1000,0.889018,3.093783,0.05819
King_2,1000,0.779849,3.216166,0.048385
King_3,1000,0.746424,3.535849,0.130847
King_4,1000,0.773196,3.50385,0.078298
King_5,1000,0.80602,3.638796,0.040134
King_6,1000,0.726057,3.310939,0.063266
King_7,1000,0.807075,3.686214,0.077273
King_9,1000,0.720267,3.504714,0.067342
King_10,1000,1.132203,2.889652,0.067594
King_11,1000,0.927182,3.335595,0.086688
King_12,1000,1.156246,3.909032,0.145488
none,0,0.692501,3.45901,0.108422
none,0,0.82069,3.565517,0.110345
none,0,0.845588,3.102941,0.055147
none,0,0.872374,3.632671,0.09989
none,0,0.86433,3.403511,0.084079
none,0,0.882969,3.513918,0.101766
none,0,0.882168,3.327032,0.078765
none,0,0.960094,3.663673,0.120748
none,0,0.919511,3.78826,0.085023
none,0,1.087673,3.836519,0.088991
none,0,1.046438,3.672406,0.086874
none,0,1.403748,4.252978,0.075878
